StudyNo,EffectID,Author,Year,Journal,Species,Phylum,ExptLifeStage,ManipType,CatchUp,Sex,StageType,AdultDiet,NStartControl,NStartExpt,MeanC,MeanE,SD_C,SD_E
25,19,Sayer,2001,Gerontol,Rat,Vertebrate,Prenatal,Quality,2.No,M,Gest,C,15,12,76,73,11.61895004,10.39230485
92,20,Sun,2009,JGerontol,Mouse,Vertebrate,Postnatal,Quantity,2.No,B,Prewean,C,25,36,770.64,861.11,126.58,185.195307
92,21,Sun,2009,JGerontol,Mouse,Vertebrate,Postnatal,Quality,3.Yes,B,Prewean,C,25,25,770.64,793.64,126.58,164.009878
100,22,Tu,2003,AgingCell,Drosophila,Invertebrate,Postnatal,Quality,2.No,F,Juv,C,367,210,26.6812,25.77,8.08,7.943288
83,23,Zajistchek,2009,FuncEcol,BlackFieldCricket,Invertebrate,Postnatal,Quality,1.Unk,F,Juv,R,62,57,41.29032,39.4,11.33,13.581578
83,24,Zajistchek,2009,FuncEcol,BlackFieldCricket,Invertebrate,Postnatal,Quality,1.Unk,F,Juv,C,56,52,24.80357,26.63,8.49,7.472902
83,25,Zajistchek,2009,FuncEcol,BlackFieldCricket,Invertebrate,Postnatal,Quality,1.Unk,M,Juv,R,52,55,45.53846,45.36,16.72,17.701604
83,26,Zajistchek,2009,FuncEcol,BlackFieldCricket,Invertebrate,Postnatal,Quality,1.Unk,M,Juv,C,59,61,42.61017,49.54,18.54,19.076664
28,39,Mestre,2012,BehavEcol,DwarfSpider,Invertebrate,Postnatal,Quantity,1.Unk,B,Juv,C,180,115,32.43,18.72,11.67227484,10.83104335
28,40,Mestre,2012,BehavEcol,DwarfSpider,Invertebrate,Postnatal,Quantity,1.Unk,B,Juv,C,16,23,29.19,20.83,12.96,11.70182892
40,41,Saasatamoinen,2013,Oecologia,GlanvilleFritillary,Invertebrate,Postnatal,Quantity,1.Unk,F,Juv,C,157,183,18.34395,19.5847,8.11,8.323288
40,42,Saasatamoinen,2013,Oecologia,GlanvilleFritillary,Invertebrate,Postnatal,Quantity,1.Unk,F,Juv,C,157,218,18.34395,18.1789,8.11,8.005765
40,43,Saasatamoinen,2013,Oecologia,GlanvilleFritillary,Invertebrate,Postnatal,Quantity,1.Unk,F,Juv,C,77,77,15.5,15.4,15.7949359,13.16244658
40,44,Saasatamoinen,2013,Oecologia,GlanvilleFritillary,Invertebrate,Postnatal,Quantity,1.Unk,F,Juv,C,77,77,15.5,18.3,15.7949359,17.54992877
40,45,Saasatamoinen,2013,Oecologia,GlanvilleFritillary,Invertebrate,Postnatal,Quantity,1.Unk,M,Juv,C,276,296,21.12319,21.38514,9.51,8.854396
40,46,Saasatamoinen,2013,Oecologia,GlanvilleFritillary,Invertebrate,Postnatal,Quantity,1.Unk,M,Juv,C,276,244,21.12319,18.40984,9.51,7.962623
40,47,Saasatamoinen,2013,Oecologia,GlanvilleFritillary,Invertebrate,Postnatal,Quantity,1.Unk,M,Juv,C,77,77,20.1,21.9,9.652460826,10.52995726
40,48,Saasatamoinen,2013,Oecologia,GlanvilleFritillary,Invertebrate,Postnatal,Quantity,1.Unk,M,Juv,C,77,77,20.1,17.9,9.652460826,9.652460826
68,49,Saasatamoinen,2010,AmNat,BicyclusAnynana,Invertebrate,Postnatal,Quantity,2.No,F,Juv,C,68,65,29.91176,28.11,10.69,8.01
68,50,Saasatamoinen,2010,AmNat,BicyclusAnynana,Invertebrate,Postnatal,Quantity,2.No,F,Juv,R,67,63,21.10448,20.87,5.61,6.675647
68,51,Saasatamoinen,2010,AmNat,BicyclusAnynana,Invertebrate,Postnatal,Quantity,2.No,F,Juv,C,60,63,26.08333,30.57,10.04,9.020969
68,52,Saasatamoinen,2010,AmNat,BicyclusAnynana,Invertebrate,Postnatal,Quantity,2.No,F,Juv,R,73,63,19.53425,19.83,6.16,5.726395
14,53,Ozanne,2004,Nature,Mouse,Vertebrate,Prenatal,Quality,3.Yes,M,Gest ,C,24,24,765,568,107.7775487,176.3632615
14,54,Ozanne,2004,Nature,Mouse,Vertebrate,Prenatal,Quality,3.Yes,M,Gest,C,24,24,715,517,102.8785692,171.464282
14,55,Ozanne,2004,Nature,Mouse,Vertebrate,Postnatal,Quality,2.No,M,Prewean,C,24,24,765,814,107.7775487,122.4744871
14,56,Ozanne,2004,Nature,Mouse,Vertebrate,Postnatal,Quality,2.No,M,Prewean,C,24,24,715,807,102.8785692,137.1714256
101,57,Zwaan,1991,Heredity,Drosophila,Invertebrate,Postnatal,Quality,2.No,F,Juv,C,17,25,28.5,25.6,31.74791332,41.5
101,58,Zwaan,1991,Heredity,Drosophila,Invertebrate,Postnatal,Quality,2.No,F,Juv,C,17,25,28.5,20.8,31.74791332,39.5
101,59,Zwaan,1991,Heredity,Drosophila,Invertebrate,Postnatal,Quality,2.No,F,Juv,C,17,25,28.5,27.1,31.74791332,38
101,60,Zwaan,1991,Heredity,Drosophila,Invertebrate,Postnatal,Quantity,1.Unk,F,Juv,C,17,25,28.5,32.7,31.74791332,53.5
101,61,Zwaan,1991,Heredity,Drosophila,Invertebrate,Postnatal,Quality,2.No,M,Juv,C,25,25,23.6,26.3,39,42
101,62,Zwaan,1991,Heredity,Drosophila,Invertebrate,Postnatal,Quality,2.No,M,Juv,C,25,25,23.6,24.7,39,49.5
101,63,Zwaan,1991,Heredity,Drosophila,Invertebrate,Postnatal,Quality,2.No,M,Juv,C,25,25,23.6,24.2,39,56
101,64,Zwaan,1991,Heredity,Drosophila,Invertebrate,Postnatal,Quantity,1.Unk,M,Juv,C,25,25,23.6,35.8,39,51
107,65,Boggs,2005,Oecologia,SpeyeriaMormonia,Invertebrate,Postnatal,Quantity,1.Unk,F,Juv,C,34,19,14.64706,10.94737,5.58,3.978745
109,67,May,2015,EcolEvol,Drosophila,Invertebrate,Postnatal,Quality,2.No,F,Juv,C,94,95,85.468,91.284,12.74,9.831
109,68,May,2015,EcolEvol,Drosophila,Invertebrate,Postnatal,Quality,2.No,M,Juv,C,85,86,75.565,81.651,11.58,11.164
109,69,May,2015,EcolEvol,Drosophila,Invertebrate,Postnatal,Quality,2.No,F,Juv,C,19,19,43.105,46.526,14.04,12.379
109,70,May,2015,EcolEvol,Drosophila,Invertebrate,Postnatal,Quality,2.No,F,Juv,C,19,18,59.894,61.833,12.1,13.24
109,71,May,2015,EcolEvol,Drosophila,Invertebrate,Postnatal,Quality,2.No,F,Juv,C,19,20,57.631,59.25,15.44,12.012
63,72,Saasatamoinen,2013,PLoSOne,GlanvilleFritillary,Invertebrate,Postnatal,Quantity,2.No,B,Juv,C,110,111,19.98182,16.96396,7.62,7.209751
91,73,Dmitriew,2009,CanJZoo,LadybirdBeetle,Invertebrate,Postnatal,Quantity,2.No,F,Juv,R,60,38,42.36667,45.39474,9.03,8.57255
91,74,Dmitriew,2009,CanJZoo,LadybirdBeetle,Invertebrate,Postnatal,Quantity,3.Yes,F,Juv,R,60,28,42.36667,42.67857,9.03,9.529889
91,75,Dmitriew,2009,CanJZoo,LadybirdBeetle,Invertebrate,Postnatal,Quantity,2.No,M,Juv,R,54,22,53.2037,53.95455,14.27,13.16734
91,76,Dmitriew,2009,CanJZoo,LadybirdBeetle,Invertebrate,Postnatal,Quantity,3.Yes,M,Juv,R,54,37,53.2037,53.2973,14.27,13.173764
114,77,Heidinger,2012,PNAS,ZebraFinch,Vertebrate,Postnatal,Quality,3.Yes,F,Juv,C,24,33,1280.917,1286.182,696.18,742.0867
114,78,Heidinger,2012,PNAS,ZebraFinch,Vertebrate,Postnatal,Quality,3.Yes,M,Juv,C,19,23,1383.158,1718.478,727.86,824.3653
110,79,Houslay,2015,JEvolBiol,DecoratedCricket,Invertebrate,Postnatal,Quality,1.Unk,F,Juv,C,23,26,41.21739,40.57692,18.26,13.90302
110,80,Houslay,2015,JEvolBiol,DecoratedCricket,Invertebrate,Postnatal,Quality,1.Unk,F,Juv,R,34,22,45.76471,43.81818,14.35,15.95719
110,81,Houslay,2015,JEvolBiol,DecoratedCricket,Invertebrate,Postnatal,Quality,1.Unk,M,Juv,C,18,31,46.88889,48.09677,16.82,15.73606
110,82,Houslay,2015,JEvolBiol,DecoratedCricket,Invertebrate,Postnatal,Quality,1.Unk,M,Juv,R,24,27,43.5,48.14815,15.6,11.74964
41,83,Kelly,2014,JEvolBiol,TexasFieldCricket,Invertebrate,Postnatal,Quality,2.No,F,Juv,C,16,5,105.75,104.8,15.53,26.62142
41,84,Kelly,2014,JEvolBiol,TexasFieldCricket,Invertebrate,Postnatal,Quality,2.No,F,Juv,C,14,8,101.42857,119.5,13.65,25.75711
41,85,Kelly,2014,JEvolBiol,TexasFieldCricket,Invertebrate,Postnatal,Quality,2.No,M,Juv,C,17,8,97.94118,99.625,14.84,9.0859
41,86,Kelly,2014,JEvolBiol,TexasFieldCricket,Invertebrate,Postnatal,Quality,2.No,M,Juv,C,8,7,111.75,114.85714,29.22,28.9219
41,87,Kelly,2014,JEvolBiol,TexasFieldCricket,Invertebrate,Postnatal,Quality,2.No,F,Juv,C,16,5,25.9375,22,6.88,10.440307
41,88,Kelly,2014,JEvolBiol,TexasFieldCricket,Invertebrate,Postnatal,Quality,2.No,F,Juv,C,14,8,24.71429,22.625,4.71,9.941795
41,89,Kelly,2014,JEvolBiol,TexasFieldCricket,Invertebrate,Postnatal,Quality,2.No,M,Juv,C,17,8,23.11765,29.875,7.79,13.431706
41,90,Kelly,2014,JEvolBiol,TexasFieldCricket,Invertebrate,Postnatal,Quality,2.No,M,Juv,C,8,7,23.25,35.71429,5.63,19.353848
